ae	®
b0	°
bd	½
bf	¿
2122	™
a2	¢
a3	£
266a	♪
e0	à
f000		left half of video tape
e8	è
e2	â
ea	ê
ee	î
f4	ô
fb	û
f001		right half of video tape
21	!
22	"
23	#
24	$
25	%
26	&
27	'
28	(
29	)
e1	á
2b	+
2c	,
2d	-
2e	.
2f	/
30	0
31	1
32	2
33	3
34	4
35	5
36	6
37	7
38	8
39	9
3a	:
3b	;
3c	<
3d	=
3e	>
3f	?
40	@
41	A
42	B
43	C
44	D
45	E
46	F
47	G
48	H
49	I
4a	J
4b	K
4c	L
4d	M
4e	N
4f	O
50	P
51	Q
52	R
53	S
54	T
55	U
56	V
57	W
58	X
59	Y
5a	Z
5b	[
e9	é
5d	]
ed	í
f3	ó
fa	ú
61	a
62	b
63	c
64	d
65	e
66	f
67	g
68	h
69	i
6a	j
6b	k
6c	l
6d	m
6e	n
6f	o
70	p
71	q
72	r
73	s
74	t
75	u
76	v
77	w
78	x
79	y
7a	z
e7	ç
f7	÷
d1	Ñ
f1	ñ
25a0	■
f002	..
f003	.|
f004	|.
f005	||
250c	┌
252c	┬
2510	┐
251c	├
253c	┼
2524	┤
2514	└
2534	┴
2518	┘
2500	─
2502	│
20	 
0	®
0	°
0	½
0	¿
0	™
0	¢
0	£
0	♪
0	à
0	left half of video tape
0	è
0	â
0	ê
0	î
0	ô
0	û
0	right half of video tape
0	!
0	"
0	#
0	$
0	%
0	&
0	'
0	(
0	)
0	á
0	+
0	,
0	-
0	.
0	/
0	0
0	1
0	2
0	3
0	4
0	5
0	6
0	7
0	8
0	9
0	:
0	;
0	<
0	=
0	>
0	?
0	@
0	A
0	B
0	C
0	D
0	E
0	F
0	G
0	H
0	I
0	J
0	K
0	L
0	M
0	N
0	O
0	P
0	Q
0	R
0	S
0	T
0	U
0	V
0	W
0	X
0	Y
0	Z
0	[
0	é
0	]
0	í
0	ó
0	ú
0	a
0	b
0	c
0	d
0	e
0	f
0	g
0	h
0	i
0	j
0	k
0	l
0	m
0	n
0	o
0	p
0	q
0	r
0	s
0	t
0	u
0	v
0	w
0	x
0	y
0	z
0	ç
0	÷
0	Ñ
0	ñ
0	■
0	..
0	.|
0	|.
0	||
3057	し
306e	の
308a	り
308b	る
3092	を
30a8	エ
30a4	イ
30aa	オ
30ab	カ
30ad	キ
30af	ク
0	 
30b3	コ
30b5	サ
30b7	シ
30b9	ス
30bb	セ
30ba	ズ
30bf	タ
30c4	ツ
30c6	テ
30c8	ト
30c7	デ
30c9	ド
30cd	ネ
30ce	ノ
30d5	フ
30d3	ビ
30d6	ブ
30dc	ボ
30d7	プ
30dd	ポ
30de	マ
30e0	ム
30e1	メ
30e2	モ
30e9	ラ
30ea	リ
30eb	ル
30ec	レ
30ed	ロ
30f3	ン
30a3	ィ
30c3	ッ
30e3	ャ
30e5	ュ
30e7	ョ
