30	0
31	1
32	2
33	3
34	4
35	5
36	6
37	7
38	8
39	9
2d	-
20	 
41	A
42	B
43	C
44	D
45	E
46	F
47	G
48	H
49	I
4a	J
4b	K
4c	L
4d	M
4e	N
4f	O
50	P
51	Q
52	R
53	S
54	T
55	U
56	V
57	W
58	X
59	Y
5a	Z
3a	:
2e	.
2f	/
27	'
61	a
62	b
63	c
64	d
65	e
66	f
67	g
68	h
69	i
6a	j
6b	k
6c	l
6d	m
6e	n
6f	o
70	p
71	q
72	r
73	s
74	t
75	u
76	v
77	w
78	x
79	y
7a	z
e0	à
e2	â
e4	ä
e1	á
e9	é
e8	è
eb	ë
ea	ê
ec	ì
ee	î
ef	ï
ed	í
f2	ò
f4	ô
f6	ö
f3	ó
f9	ù
fb	û
fc	ü
fa	ú
c4	Ä
d6	Ö
dc	Ü
e7	ç
df	ß
f1	ñ
2b	+
2a	*
23f5	⏵
23e9	⏩
23ea	⏪
23f9	⏹
2500	─
f000	[left slider]
f001	[left mid slider]
f002	[right mid slider]
f003	[right slider]
c5	Å
e5	å
c9	É
2386	⎆
d1	Ñ
1f4e1	📡
f004	[T-shaped icon]
3f	?
2661	♡
2581	▁
2582	▂
2584	▄
2585	▅
2587	▇
2588	█
3d	=
1d11e	𝄞
2192	→
2190	←
2191	↑
2193	↓
1f511	🔑
1f558	🕘
